time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.75,0.0,0.5,0.0,0.0,0.0
1,1.625,0.5,0.625,0.0,0.5,0.5
2,2.625,1.5,0.75,0.0,1.0,1.0
3,3.525,2.475,0.675,0.0,1.0,1.0
4,4.475,3.2750000000000004,0.725,0.0,0.9,0.9
5,5.475,4.275,0.7375,0.0,0.95,0.95
6,6.35,5.15,0.675,0.0,1.0,1.0
7,7.25,5.9750000000000005,0.675,0.0,0.9,0.9
8,8.225,6.875000000000001,0.725,0.0,0.9,0.9
9,9.025,7.075000000000001,0.5,0.0,0.0,0.0
