time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.25,0.25,0.0,0.0,0.0,0.0
1,0.5,0.5,0.0,0.0,0.0,0.0
2,0.75,0.75,0.0,0.0,0.0,0.0
3,1.025,1.025,0.05,0.0,0.0,0.0
4,1.25,1.325,0.0,0.0,0.05,0.05
5,1.55,1.55,0.05,0.0,0.0,0.0
6,1.7750000000000001,1.85,0.0,0.0,0.05,0.05
7,2.0,2.15,0.0,0.0,0.0,0.0
8,2.25,2.4,0.0,0.0,0.0,0.0
9,2.5,2.65,0.0,0.0,0.0,0.0
