time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.75,0.0,0.5,0.0,0.0,0.0
1,1.65,0.6,0.625,0.0,0.5,0.5
2,2.55,1.575,0.675,0.0,1.0,1.0
3,3.525,2.475,0.725,0.0,0.9,0.9
4,4.425,3.45,0.6625,0.0,0.95,0.95
5,5.3999999999999995,4.3500000000000005,0.725,0.0,0.9,0.9
6,6.374999999999999,5.250000000000001,0.7375,0.0,0.95,0.95
7,7.224999999999999,6.025000000000001,0.675,0.0,1.0,1.0
8,8.2,6.925000000000002,0.725,0.0,0.9,0.9
9,8.899999999999999,6.950000000000002,0.45,0.0,0.0,0.0
