time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.225,0.3,0.0,0.0,0.0,0.0
1,0.475,0.55,0.0,0.0,0.0,0.0
2,0.725,0.8,0.0,0.0,0.0,0.0
3,0.975,1.05,0.0,0.0,0.0,0.0
4,1.225,1.3,0.0,0.0,0.0,0.0
5,1.4500000000000002,1.6,0.0,0.0,0.0,0.0
6,1.7000000000000002,1.85,0.0,0.0,0.0,0.0
7,1.9500000000000002,2.1,0.0,0.0,0.0,0.0
8,2.1750000000000003,2.4,0.0,0.0,0.0,0.0
9,2.4250000000000003,2.65,0.0,0.0,0.0,0.0
