time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.225,0.9,0.0,0.0,1.0,1.0
1,0.475,1.9,0.0,0.0,1.0,1.0
2,0.7749999999999999,2.875,0.05,0.0,1.0,1.0
3,1.025,3.875,0.0,0.0,1.0,1.0
4,1.275,4.875,0.0,0.0,1.0,1.0
5,1.525,5.875,0.0,0.0,1.0,1.0
6,1.775,6.875,0.0,0.0,1.0,1.0
7,2.025,7.875,0.0,0.0,1.0,1.0
8,2.275,8.875,0.0,0.0,1.0,1.0
9,2.525,9.875,0.0,0.0,1.0,1.0
