time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.75,0.75,0.5,0.5,1.0,1.0
1,1.5,1.5,0.5,1.0,1.0,1.0
2,2.25,2.25,0.5,1.0,1.0,1.0
3,2.9,3.05,0.4,1.0,1.0,1.0
4,3.65,3.8,0.5,1.0,1.0,1.0
5,4.35,4.575,0.45,1.0,1.0,1.0
6,5.1,5.325,0.5,1.0,1.0,1.0
7,5.8,6.1000000000000005,0.45,1.0,1.0,1.0
8,6.55,6.8500000000000005,0.5,1.0,1.0,1.0
9,7.3,7.6000000000000005,0.5,1.0,1.0,1.0
