time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.775,0.7,0.5,0.0,1.0,1.0
1,1.55,1.4,0.5,0.0,1.0,1.0
2,2.3,2.15,0.5,0.0,1.0,1.0
3,3.05,2.9,0.5,0.0,1.0,1.0
4,3.8,3.65,0.5,0.0,1.0,1.0
5,4.575,4.35,0.5,0.0,1.0,1.0
6,5.325,5.1,0.5,0.0,1.0,1.0
7,6.025,5.875,0.45,0.0,1.0,1.0
8,6.775,6.625,0.5,0.0,1.0,1.0
9,7.525,7.375,0.5,0.0,1.0,1.0
