time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.25,0.25,0.0,0.0,0.0,0.0
1,0.5,0.5,0.0,0.0,0.0,0.0
2,0.75,0.75,0.0,0.0,0.0,0.0
3,1.075,0.975,0.075,0.0,0.0,0.0
4,1.4,1.2,0.075,0.0,0.05,0.05
5,1.65,1.45,0.0,0.0,0.05,0.05
6,1.9,1.7,0.0,0.0,0.0,0.0
7,2.175,2.075,0.075,0.15,0.0,0.0
8,2.4749999999999996,2.375,0.075,0.2,0.05,0.05
9,2.7249999999999996,2.625,0.0,0.2,0.0,0.0
