time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.25,0.25,0.0,0.0,0.0,0.0
1,0.65,0.45,0.15,0.0,0.0,0.0
2,0.9,0.7,0.0,0.0,0.1,0.1
3,1.15,0.95,0.0,0.0,0.0,0.0
4,1.3499999999999999,1.35,0.0,0.0,0.0,0.0
5,1.5499999999999998,1.75,0.0,0.0,0.0,0.0
6,1.7999999999999998,2.0,0.0,0.0,0.0,0.0
7,2.05,2.25,0.0,0.0,0.0,0.0
8,2.3,2.5,0.0,0.0,0.0,0.0
9,2.525,2.825,0.0,0.0,0.0,0.0
