time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.975,0.075,0.75,0.0,0.0,0.0
1,1.175,0.6749999999999999,0.0625,0.0,0.5,0.5
2,1.8,0.7999999999999999,0.3625,0.0,0.05,0.05
3,1.975,1.275,0.0,0.0,0.25,0.25
4,2.45,1.45,0.225,0.0,0.0,0.0
5,2.725,1.825,0.075,0.0,0.15,0.15
6,3.2,2.0,0.225,0.0,0.05,0.05
7,3.45,2.25,0.0,0.0,0.15,0.15
8,3.7,2.5,0.0,0.0,0.0,0.0
9,3.95,2.75,0.0,0.0,0.0,0.0
