time,reward_1,reward_2,epsilon_1,epsilon_2,cooperation_1,cooperation_2
0,0.625,0.125,0.375,0.0,0.0,0.0
1,1.05,0.45,0.2,0.0,0.25,0.25
2,1.525,0.625,0.2125,0.0,0.15,0.15
3,2.125,0.825,0.35,0.0,0.15,0.15
4,2.6,1.2,0.2625,0.0,0.25,0.25
5,3.35,1.5499999999999998,0.5625,0.0,0.2,0.2
6,3.9000000000000004,1.9,0.325,0.0,0.4,0.4
7,4.45,2.25,0.3625,0.0,0.25,0.25
8,4.95,2.55,0.275,0.0,0.25,0.25
9,5.175,2.875,0.0,0.0,0.0,0.0
